"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28"
"53",717,353,263,938,843,729,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"54",717,659,921,926,670,361,691,908,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"55",837,358,6,524,440,137,866,133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"56",536,282,522,421,548,330,447,273,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"57",284,806,42,230,367,450,120,154,842,49,231,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"58",268,812,700,262,716,841,719,89,305,1,410,675,334,912,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"59",358,6,524,440,137,866,133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"60",699,843,381,629,609,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"61",211,159,800,446,474,539,563,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"62",358,6,524,440,137,866,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"63",793,545,579,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"64",793,545,579,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"65",92,551,54,5,36,401,68,173,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"66",279,821,787,493,542,462,932,332,910,637,13,181,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"67",358,6,524,440,137,866,500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"68",825,299,171,873,788,394,104,265,377,100,815,137,719,536,456,705,0,0,0,0,0,0,0,0,0,0,0,0
"69",383,113,500,551,92,688,17,472,505,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"70",717,123,335,212,38,226,151,304,544,546,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"71",6,524,440,137,866,91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"72",358,827,719,612,424,456,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"73",74,358,613,182,160,763,540,384,106,176,776,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"74",74,358,613,182,160,763,540,384,106,176,776,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"75",6,524,440,137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"76",717,63,358,494,32,179,137,266,459,911,341,691,456,705,636,0,0,0,0,0,0,0,0,0,0,0,0,0
"77",626,66,77,843,406,603,767,468,61,669,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"78",126,274,309,347,621,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"79",154,360,225,781,271,278,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"80",606,827,227,260,814,524,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"81",717,513,456,792,104,852,266,777,520,709,686,689,134,291,840,719,0,0,0,0,0,0,0,0,0,0,0,0
"82",807,796,463,408,665,232,489,928,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"83",358,770,766,612,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"84",717,616,265,219,705,689,353,135,536,456,719,256,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"85",328,648,139,840,705,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"86",211,129,397,562,451,595,745,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"87",494,639,13,852,456,911,182,265,104,77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"88",762,476,863,155,188,895,835,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"89",767,66,172,61,843,234,651,867,150,817,329,94,465,693,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"90",717,888,88,409,353,512,745,475,446,257,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"91",497,498,807,458,471,682,71,641,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"92",256,290,268,162,899,292,671,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"93",782,783,326,325,741,736,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"94",717,425,198,123,448,650,507,874,503,547,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"95",358,575,828,192,350,721,523,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"96",387,639,92,265,456,864,358,551,766,792,437,579,815,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"97",77,663,160,752,579,792,530,291,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"98",346,240,673,103,579,843,137,763,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"99",843,779,242,909,706,203,518,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"100",74,488,821,483,697,719,507,456,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"101",814,530,694,793,827,613,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"102",717,487,550,321,402,727,261,358,834,356,291,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"103",392,107,486,358,290,839,913,482,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"104",399,919,674,735,460,656,869,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"105",827,551,104,230,536,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"106",717,314,124,512,930,424,147,178,808,53,163,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"107",494,358,729,931,911,512,435,815,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"108",890,205,797,723,640,749,786,19,667,416,413,218,276,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"109",358,770,512,827,162,843,755,191,375,97,18,25,679,99,44,0,0,0,0,0,0,0,0,0,0,0,0,0
"110",717,857,125,648,885,379,632,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"111",500,599,766,358,797,793,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"112",564,444,268,80,597,719,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"113",898,490,569,342,333,237,109,327,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"114",717,229,760,748,102,737,570,511,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"115",214,186,729,417,555,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"116",860,901,771,820,881,710,255,254,311,638,351,596,588,704,559,418,0,0,0,0,0,0,0,0,0,0,0,0
"117",319,768,357,773,880,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"118",604,805,557,934,836,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"119",893,847,414,149,627,580,164,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"120",717,211,615,177,822,907,541,76,239,197,744,266,233,368,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"121",3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"122",335,799,296,791,265,650,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"123",217,660,798,419,740,131,140,900,845,344,623,683,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"124",579,555,646,190,265,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"125",317,700,843,639,406,752,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"126",750,886,525,634,143,722,302,176,557,309,675,617,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"127",246,460,280,759,591,732,692,935,195,593,887,484,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"128",442,516,186,265,576,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"129",167,427,560,199,249,587,889,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"130",584,885,411,904,648,536,353,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"131",184,797,827,181,705,852,840,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"132",525,639,754,691,840,104,229,428,684,323,98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"133",148,77,375,767,358,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"134",717,211,878,400,876,104,872,376,819,288,86,570,41,810,285,0,0,0,0,0,0,0,0,0,0,0,0,0
"135",902,348,851,517,761,221,343,119,161,196,354,519,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"136",359,449,398,933,145,726,434,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"137",219,555,290,74,812,256,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"138",454,300,137,631,260,115,12,216,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"139",375,677,25,18,79,396,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"140",649,705,612,422,456,230,689,840,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"141",905,555,694,853,565,142,190,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"142",470,929,429,654,233,280,897,585,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"143",610,502,854,337,209,208,443,313,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"144",717,37,112,521,358,840,729,579,705,456,612,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"145",500,113,855,579,215,77,137,243,468,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"146",500,113,855,579,215,77,137,243,468,262,358,852,938,599,705,0,0,0,0,0,0,0,0,0,0,0,0,0
"147",262,358,852,938,599,705,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"148",512,257,705,138,619,456,230,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"149",938,52,358,639,64,817,793,181,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"150",526,666,644,566,244,4,634,823,614,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"151",494,420,556,281,579,911,357,609,189,763,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"152",444,301,840,77,424,162,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"153",181,555,938,64,43,31,162,763,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"154",885,737,512,840,752,691,636,525,804,750,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"155",885,737,512,840,752,691,636,525,804,750,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"156",157,40,363,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"157",245,137,579,698,187,77,358,310,30,478,87,894,145,452,116,477,67,58,449,568,877,461,250,439,826,144,432,158
"158",717,123,802,730,534,331,608,924,267,814,248,257,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"159",170,215,43,714,752,694,152,529,598,753,147,424,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"160",717,128,856,737,858,381,648,186,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"161",500,774,338,898,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"162",814,827,840,52,684,291,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"163",717,28,247,691,136,137,134,695,265,266,291,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"164",758,312,132,108,236,927,567,715,455,390,277,594,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"165",252,612,186,793,930,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"166",336,316,916,90,581,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"167",717,127,184,59,571,789,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"168",453,500,597,898,464,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"169",708,812,827,233,575,852,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"170",525,827,645,15,852,52,82,662,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"171",381,296,630,752,648,456,265,705,340,843,712,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"172",778,258,685,289,508,724,2,764,339,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"173",205,77,843,66,669,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"174",162,746,269,31,181,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"175",222,728,365,184,681,765,165,324,264,389,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"176",169,479,235,846,844,734,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"177",406,61,834,527,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"178",652,609,827,597,589,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"179",184,738,574,404,137,456,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"180",501,906,78,275,46,85,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"181",601,770,699,694,914,113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"182",358,8,179,729,684,705,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"183",135,924,752,331,558,561,549,525,407,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"184",265,766,793,795,43,780,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"185",717,532,799,752,456,294,577,520,708,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"186",121,184,59,583,767,322,871,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"187",717,122,647,697,790,353,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"188",358,747,814,290,773,415,792,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"189",170,753,784,93,424,793,551,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"190",742,77,578,815,746,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"191",494,862,579,10,104,911,358,746,682,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"192",717,405,358,308,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"193",186,104,486,676,415,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"194",602,896,755,718,625,577,727,353,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"195",436,658,618,920,664,243,538,715,917,552,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"196",385,865,923,495,430,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"197",581,915,15,527,317,180,843,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"198",876,406,22,62,491,843,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"199",586,801,891,769,936,480,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"200",717,358,882,303,531,202,817,818,924,407,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"201",752,715,555,565,77,469,755,756,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"202",793,741,530,181,270,639,77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"203",252,797,868,181,551,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"204",494,371,487,911,123,211,201,373,145,431,875,233,859,623,168,362,620,870,0,0,0,0,0,0,0,0,0,0
"205",358,752,111,290,579,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"206",107,378,210,595,95,423,403,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"207",417,887,238,52,814,175,719,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"208",60,186,843,233,274,373,566,575,267,803,690,496,50,83,752,0,0,0,0,0,0,0,0,0,0,0,0,0
"209",848,52,252,703,938,918,464,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
