分類,guest 1,guest 2,guest 3,guest 4,guest 5,guest 6,guest 7,guest 8,guest 9,guest 10,guest 11,guest 12,guest 13,guest 14,guest 15,guest 16,guest 17,guest 18,guest 19,guest 20,guest 21,guest 22,guest 23,guest 24,guest 25,guest 26,guest 27,c_view,g_view
活動,陳予新,無尊,梁凱莉,林喬安,阿虎,卡古,惡魔,嘻小瓜,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,280812,5
談話性,韓靖,馬國賢,曾子余,蔡允潔余皓然,國賢媽,子余媽,允潔媽,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,278403,5
歌曲,品冠,贊薇,林樂偉,陳安,古拉,牟牟,謝秉鈞,張革玉勍,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,246119,5
職業,梁正群,范峻銘,蔡志雄,李怡貞,王可文,王世平,邱靖貽,吳威廷,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,361134,4
活動,評審,HowHow,Wackyboys,酷炫,孫生,趙正平,沈玉琳,嘻小瓜,黃沐妍,張立東,無尊,阿虎,梁凱莉,0,0,0,0,0,0,0,0,0,0,0,0,0,0,391639,4
活動,苦苓,Wendy,蔡志雄律師詹子晴,張立東,王思佳,Paul,大根,布蘭妮,咪咪,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,475372,4
活動,苦苓,Wendy,蔡志雄律師詹子晴,張立東,王思佳,Paul,大根,布蘭妮,咪咪,安妮,沈玉琳,蔡允潔,蘿莉塔,張齡予,無尊,0,0,0,0,0,0,0,0,0,0,0,0,275951,5
談話性,安妮,沈玉琳,蔡允潔,蘿莉塔,張齡予,無尊,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,274745,5
活動,唐從聖,亦帆,無尊,大根小鍾,符瓊音,阿虎,卡古,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,387516,4
談話性,蘿莉塔,LALA,沈玉琳,郭彥均,Mei,甄莉,詹子晴,小優,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,430190,4
歌曲,孫翠鳳,陳昭賢,郭耀仁吳申梅,婁峻碩,布蘭妮氏安娜,A,Team,許維芳,舞炯恩,爽樂團,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,166727,5
活動,紅隊,林韋君,高山峰,米可白,張立東,藍隊,沈世朋,梁以辰,五熊,楊子儀,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,295365,5
遊戲,邱鋒澤,吳心緹,嘻小瓜,Paul,林進,小甜甜,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,463290,4
談話性,小優,馬國賢,蘿莉塔,Mei,Julie,Eason,小甜甜,楊子儀,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,382455,4
活動,閻奕格,黃昺翔,唐從聖,嘻小瓜,黃鐙輝,斯亞,郭子,孫協志,頒獎嘉賓,黃鴻升,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,241189,5
活動,閻奕格,黃昺翔,唐從聖,嘻小瓜,黃鐙輝,斯亞,郭子,孫協志,頒獎嘉賓,黃鴻升,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,193789,5
活動,小茉莉,Janet,玖壹壹,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,814240,2
談話性,未婚男,大根,張立東,曾理,已婚男,Paul,沈玉琳,吳俊諺,Doris,恬雅,Regi0,薛冰,子涵,阿Sa,Winnie,恬恬,Micky,Maggie,金美滿,巢巢,蕙蕙,亭羽,田以熙,虎牙妹,賓妹,子庭,泡菜妹,2172092,1
歌曲,評審,丁曉雯,鄒兆龍,黃尚禾黃鐙輝,泰坦,李子森,梁一貞,羅美玲,安歆澐,熊熊,玉兔,亦帆,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,390882,4
職業,小瑋哥,王思佳,Julie,萁萁,黃鐙輝,曾子余,小安,徐凱希,張語噥,黑傑克,小A辣,林進,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,345224,4
歌曲,評審,丁曉雯黃文星,蔡忻彤,黃昺翔,蔡恩雨,周定緯,陳大天,山豬,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,508132,3
職業,苦苓,溫士凱,李昂,謝哲青,H,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,172604,5
活動,熊熊,趙正平,嘻小瓜,LALA,博焱,何美,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,902465,2
歌曲,評審,Dennis黃鐙輝,民雄,斯亞,大飛,大根,大?,曾治豪,安苡愛,安喬,何美,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,490651,4
談話性,媳婦,吳姵穎,三?媽,Vien0,可芸,羅莉勤,婆婆,萁媽,阿秀,宜真,江柃榛,張惠聊,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,247030,5
活動,田舞陽,梁凱莉,山豬,詹子晴,鯰魚,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,576644,3
談話性,李亞萍,吳鳳,雙兒余祥銓,Rynne,張克帆,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,456439,4
歌曲,評審,丁曉雯南拳媽媽,小鐘,Makiyo,康康,董事長樂團,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,293319,5
活動,阿布,苦苓,張雁名,謝哲青,侯昌明,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,361647,4
活動,琳妲,廖慧珍,趙正平,古拉,張友驊,蔡允潔,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,245083,5
談話性,孫協志,趙正平,郭鑫,Ben,蔡允潔,LALA,PTT台綜版版主,陳彥碩,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,342336,4
歌曲,周定緯,佟凱玲,許含光,黃鐙輝,陳大天,阿虎,安苡愛,無尊,李建軒,撒基努,紫棋妹,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,756653,3
職業,瑜庭,吉姆,喬老師,西門夜說,修分靈,馮羿,?榮宏,楊元慶,李俊翰,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,290971,5
夫妻,王中平,Paul,撒基努,Michael,陳致遠,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,509736,3
談話性,小甜甜,黃豪平,成語蕎王宇婕,Eason,小優,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,249091,5
歌曲,王瑞霞,黃妃,秀蘭瑪雅,小鐘,麻吉弟弟,楊東霖,小晶玲,宋費爾,安雨晨,宛宛兒,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,228516,5
談話性,小煜,施芊芸,古墨,歐弟,樂事,黃品誠,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,174221,5
夫妻,林秀琴,Maya,劉雨柔,徐小可,Mei,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,954072,2
職業,陳宇風,梁以辰,趙正平,張雁名,張庭瑚,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,188948,5
歌曲,小鐘,黃若熙,張三李四,林吟蔚,大根,阿虎,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,242306,5
職業,范美拉,瞿光復,Peggy,朱珣貝,Kevin費少傑,Rebecca,Keyboard桑,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,256393,5
活動,惟毅,楊繡惠,曾莞婷,曾子余,醫學講師,Wendy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,289063,5
活動,沈玉琳,Amanda,小賴,黃沐妍,博焱,無尊,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,203217,5
歌曲,大女孩,羅美玲,黃鐙輝,李子森,高以馨于立成,高慧君,袁小迪,孫協志,林佳儀,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,393384,4
談話性,安苡愛,楊晨熙,詹子晴,詹少倫,Julie,筱蕾,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,413213,4
歌曲,評審,徐懷鈺,詹愷琪,黃鐙輝,阿虎,余祥銓,張可昀,孫生,琳妲,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,336791,4
活動,丁國琳,小鐘,Makiyo,張芯瑜呂文婉,楊皓如,妏雪,憨憨,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,209808,5
活動,評審,丁噹,陳乃榮林凡,曾昱嘉,解偉苓,杜力,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,236751,5
活動,沈玉琳,黃豪平曾雅蘭,熊熊,何妤玟,楊麗菁,林姿佑,解婕翎,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,244934,5
活動,小瑋哥,黑傑克,葉子,Shanon王思佳,林進,詹子晴,馬丁,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,483083,4
活動,黃敬平,Paul,張可昀呂文婉,瑪莉亞,黃豪平,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,238761,5
遊戲,紅隊,蔡頭,張立東,Apple,U0,藍隊,沈玉琳,黃豪平,凱莉,Dora,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,466961,4
活動,評審,林志穎麥若愚?佑庭,沈玉琳,吳采臻,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,494191,4
活動,山豬,U0,洪都拉斯,陳櫻文,林姿佑,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,411066,4
談話性,控制狂,謝忻,圓圓,賀少俠,被害人,張可昀,黃少谷,杜力,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,261831,5
歌曲,炎亞綸,陳欣?,異鄉人,魏嘉瑩,陳政文,布蘭妮,烏來嬤,萁媽,雙胞媽,馬仕釗,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,189749,5
活動,奔奔小姐,踢小米,羅伊,美味拍手,林鮭魚,CelineM4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,254281,5
夫妻,張克帆,雙ㄦ,Ben,徐小可,吳懷中,小龜,撒基努,MAYA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,386021,4
談話性,盧學叡,林秀琴,CHAMPION,MAYA,珍珠,撒基努,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,707454,3
談話性,張香香,路雨希,膽固醇妹,楊葦萱,蘋果妹,昶霏,Cherry,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,573421,3
歌曲,評審,沈玉琳,賴慈泓吳亦帆,吳亦偉,徐詣帆,月琴,甄莉,甄詒,羅美玲,林佳儀,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,167495,5
活動,黃鐙輝,萁媽,馬國賢,國賢媽,Paul,咪咪媽,圓圓,圓圓媽,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,325444,4
談話性,詹子晴,黃喬歆,徐瑋吟,小優,成語蕎沈玉琳,郭彥均,Paul,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,517978,3
談話性,田舞陽,詹惟中,鄭楷丞,小優,馬丁,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,164748,5
歌曲,紅隊,辛曉琪,洪敬堯,藍隊,丁曉雯,王治平,方麗庭,那那大師,子涵,法愛,盧蓁,古拉,蔡恩霖,蛋捲,小發財,沈夢露,莊昱凡,魯蛋,0,0,0,0,0,0,0,0,0,225914,5
活動,沈玉琳,黃鐙輝,Wackyboys,何妤玟,張立東,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,470791,4
談話性,Vicky,兒童發展專家,王宏哲趙心?,張棋惠,Stacey,林舒語,林可彤,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,186507,5
活動,林彥君,龍龍,可藍,LALA,熊熊,小熊趙正平,逸祥,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,242580,5
歌曲,Matzka,山豬,撒基努,古拉,朱海君,那那大師,婁峻碩,張友驊,安歆澐,靖雯,斑比,美美,Kitty,QQ,黃鐙輝,0,0,0,0,0,0,0,0,0,0,0,0,215526,5
談話性,潘若迪,LALA,田舞陽,曾雅蘭沈玉琳,蘿莉塔,顏?澔,侯昌明,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,295988,5
