分類,guest 1,guest 2,guest 3,guest 4,guest 5,guest 6,guest 7,guest 8,guest 9,guest 10,guest 11,guest 12,guest 13,guest 14,guest 15,guest 16,guest 17,guest 18,guest 19,guest 20,guest 21,guest 22,guest 23,guest 24,guest 25,guest 26,guest 27,c_view,g_view
歌曲,評審,康康林芯儀,林亭翰,大飛,民雄,大根,康茵茵,婁峻碩,有激人,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,230606,5
活動,阿達,沈玉琳,曹西平,郭子,林進,徐瑋吟,張立東,Luxy,Girls,侯昌明,曾雅蘭,大根,阿虎,卡古,博焱,許凱皓,孫其君,熊熊,小賴,嘻小瓜,0,0,0,0,0,0,0,558374,3
活動,阿達,沈玉琳,曹西平,郭子,林進,徐瑋吟,張立東,Luxy,Girls,侯昌明,曾雅蘭,大根,阿虎,卡古,博焱,許凱皓,孫其君,熊熊,小賴,嘻小瓜,0,0,0,0,0,0,0,411314,4
職業,老闆,邵昕,王俐人,白雲,圓圓,員工,MiA,娃娃,Ya,Ting,Rick,蔡瑞容,鍾福元,米粉妹,A先生,0,0,0,0,0,0,0,0,0,0,0,0,274874,5
歌曲,余皓然,趙正平,黃小柔,邰智源王中平,曹西平,張棋惠,大根,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,287440,5
職業,廖偉健,Danny,Luxy,Girls,Iwanka,Becca,王耀賢,劉盛,王筠婷,Hank,郭常喜,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,836731,2
遊戲,宏都拉斯,解婕翎,小甜甜,曾理,Yumi,少少,綠茶,助理主場,趙正平,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,317304,4
談話性,成語蕎,黃沐妍,哈孝遠,郭彥均,安苡愛,瑪麗亞,香蕉,Cooper,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,282570,5
歌曲,盧學叡,王中平,楊繡惠,吳申梅,大飛,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,241234,5
職業,海寧,魏智偉,蚯蚓,許小飛,吳敏髣,張振榕,飛飛,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,162601,5
